agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AR03407,0.0,murder,False,7,False
AR03500,29.0,murder,False,9C,False
AR03501,38.0,murder,True,4,False
AR03502,1.0,murder,False,6,False
AR03503,0.0,murder,False,7,False
AR03504,0.0,murder,False,7,False
AR03506,0.0,murder,False,7,False
AR03600,14.0,murder,False,8C,False
AR03601,3.0,murder,False,6,False
AR03603,0.0,murder,False,7,False
AR03700,16.0,murder,False,8D,False
AR03702,1.0,murder,False,7,False
AR03703,0.0,murder,False,7,False
AR03800,9.0,murder,False,8D,False
AR03801,0.0,murder,False,6,False
AR03802,0.0,murder,False,6,False
AR03804,0.0,murder,False,7,False
AR03805,0.0,murder,False,7,False
AR03900,9.0,murder,False,8D,False
AR03901,14.0,murder,False,6,False
AR04000,7.0,murder,False,9C,False
AR04001,1.0,murder,False,7,False
AR04002,3.0,murder,False,7,False
AR04003,0.0,murder,False,7,False
AR04100,9.0,murder,False,9D,False
AR04101,3.0,murder,False,6,False
AR04102,0.0,murder,False,7,False
AR04200,8.0,murder,False,8C,False
AR04201,0.0,murder,False,6,False
AR04202,2.0,murder,False,6,False
AR04300,18.0,murder,False,9B,False
AR04301,6.0,murder,False,6,False
AR04302,5.0,murder,False,4,False
AR04303,3.0,murder,False,7,False
AR04304,4.0,murder,False,6,False
AR04305,0.0,murder,False,6,False
AR04306,2.0,murder,False,6,False
AR04400,13.0,murder,False,9C,False
AR04401,1.0,murder,False,7,False
AR04500,8.0,murder,False,8C,False
AR04501,0.0,murder,False,7,False
AR04502,0.0,murder,False,7,False
AR04503,0.0,murder,False,7,False
AR04600,20.0,murder,False,9C,False
AR04601,33.0,murder,False,4,False
AR04700,22.0,murder,False,8C,False
AR04701,34.0,murder,True,5,False
AR04702,23.0,murder,False,6,False
AR04703,0.0,murder,False,7,False
AR04705,0.0,murder,False,7,False
AR04706,0.0,murder,False,,
AR04707,0.0,murder,False,6,False
AR04708,0.0,murder,False,7,False
AR04709,0.0,murder,False,7,False
AR04710,0.0,murder,False,7,False
AR04800,12.0,murder,False,8D,False
AR04801,11.0,murder,False,6,False
AR04802,1.0,murder,False,7,False
AR04803,0.0,murder,False,7,False
AR04900,9.0,murder,False,8D,False
AR05000,8.0,murder,False,8D,False
AR05001,3.0,murder,False,6,False
AR05100,10.0,murder,False,8D,False
AR05101,0.0,murder,False,7,False
AR05200,12.0,murder,False,8C,False
AR05201,25.0,murder,False,5,False
AR05202,0.0,murder,False,7,False
AR05203,0.0,murder,False,7,False
AR05206,0.0,murder,False,7,False
AR05300,7.0,murder,False,9D,False
AR05301,0.0,murder,False,7,False
AR05400,16.0,murder,False,8D,False
AR05401,23.0,murder,False,5,False
AR05402,16.0,murder,False,7,False
AR05403,0.0,murder,False,7,False
AR05404,3.0,murder,False,7,False
AR05500,12.0,murder,False,8D,False
AR05501,0.0,murder,False,7,False
AR05502,0.0,murder,False,7,False
