agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AR02103,32.0,assault_gun,False,6,False
AR02200,17.0,assault_gun,False,8D,False
AR02201,30.0,assault_gun,False,6,False
AR02203,0.0,assault_gun,False,7,False
AR02300,34.0,assault_gun,True,9B,False
AR02301,37.0,assault_gun,True,3,False
AR02302,9.0,assault_gun,False,6,False
AR02303,4.0,assault_gun,False,7,False
AR02304,1.0,assault_gun,False,6,False
AR02305,0.0,assault_gun,False,7,False
AR02306,5.0,assault_gun,False,7,False
AR02400,16.0,assault_gun,False,8C,False
AR02401,21.0,assault_gun,False,6,False
AR02402,1.0,assault_gun,False,7,False
AR02403,0.0,assault_gun,False,7,False
AR02500,22.0,assault_gun,False,8D,False
AR02501,0.0,assault_gun,False,7,False
AR02502,0.0,assault_gun,False,7,False
